ID game,ID team,ID opponent,result,GT,timeT,TB_T,ShotT,BT_T,PM_T,As_T,As_T_2,GO,timeO,TB_O,ShotO,BT_O,PM_O,As_O,As_O_2,refl_sh_T,refl_sh_O,ID season,stage,division,date,ELO,ELO_O,E_S,E_S_O,ELO_old,ELO_O_old
1111,61,63,W,8.00,17177.00,65.00,49.00,47.00,30.00,7.00,2.00,2.00,7280.00,60.00,39.00,59.00,-30.00,1.00,1.00,94.87,83.67,14.00,1,3.00,2018-11-25,1225.00,1175.00,0.50,0.50,1200.00,1200.00
6068,205,65,W,3.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,-inf,-inf,63.00,1,3.00,2022-01-09,1225.00,1175.00,0.50,0.50,1200.00,1200.00
6315,111,200,W,7.00,13164.00,12.00,17.00,0.00,18.00,6.00,3.00,5.00,0.00,0.00,0.00,0.00,-20.00,5.00,3.00,-inf,58.82,63.00,1,,2022-02-19,1525.00,1475.00,0.50,0.50,1500.00,1500.00
6353,63,27,W,5.00,0.00,0.00,0.00,0.00,9.00,4.00,0.00,3.00,13136.00,22.00,14.00,4.00,-10.00,3.00,0.00,78.57,,63.00,1,1.00,2022-02-26,1214.25,1360.75,0.21,0.79,1175.00,1400.00
6358,138,38,W,9.00,0.00,0.00,0.00,0.00,12.00,9.00,3.00,3.00,12709.00,4.00,15.00,1.00,-15.00,3.00,0.00,80.00,-inf,63.00,1,2.00,2022-02-26,1325.00,1275.00,0.50,0.50,1300.00,1300.00
6556,239,35,L,3.00,0.00,0.00,0.00,0.00,-7.00,3.00,1.00,4.00,12747.00,24.00,23.00,8.00,9.00,4.00,1.00,82.61,-inf,60.00,6,1.00,2022-04-02,1375.00,1425.00,0.50,0.50,1400.00,1400.00
6557,31,209,L,2.00,0.00,0.00,0.00,0.00,5.00,2.00,1.00,3.00,11858.00,10.00,32.00,5.00,-5.00,3.00,2.00,90.62,-inf,60.00,3,1.00,2022-04-02,1375.00,1425.00,0.50,0.50,1400.00,1400.00
6737,31,35,W,3.00,296.00,0.00,1.00,0.00,10.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,-10.00,0.00,0.00,,-200.00,60.00,5,1.00,2022-04-24,1403.57,1396.43,0.43,0.57,1375.00,1425.00
7192,400,431,L,1.00,13057.00,8.00,20.00,6.00,-5.00,1.00,0.00,7.00,0.00,0.00,0.00,0.00,5.00,4.00,0.00,-inf,95.00,67.00,1,5.00,2022-09-11,975.00,1025.00,0.50,0.50,1000.00,1000.00
6985,447,17,W,8.00,13800.00,14.00,25.00,1.00,-17.00,7.00,7.00,7.00,13139.00,18.00,31.00,4.00,15.00,7.00,4.00,77.42,68.00,68.00,1,,2022-09-17,1525.00,1475.00,0.50,0.50,1500.00,1500.00
6986,1,46,W,6.00,13487.00,16.00,28.00,1.00,20.00,5.00,5.00,1.00,12731.00,10.00,22.00,3.00,-20.00,1.00,0.00,95.45,78.57,68.00,1,,2022-09-17,1525.00,1475.00,0.50,0.50,1500.00,1500.00
6987,4,56,L,2.00,12394.00,13.00,24.00,7.00,-10.00,1.00,1.00,4.00,12437.00,18.00,22.00,3.00,10.00,4.00,2.00,81.82,91.67,68.00,1,,2022-09-17,1475.00,1525.00,0.50,0.50,1500.00,1500.00
7201,207,26,L,0.00,12181.00,11.00,10.00,3.00,-5.00,0.00,0.00,1.00,12963.00,15.00,24.00,6.00,5.00,1.00,0.00,95.83,100.00,67.00,1,3.00,2022-09-17,1175.00,1225.00,0.50,0.50,1200.00,1200.00
7202,38,448,W,7.00,12597.00,21.00,34.00,3.00,21.00,6.00,0.00,2.00,13184.00,17.00,19.00,8.00,-20.00,0.00,0.00,89.47,,67.00,1,3.00,2022-09-17,1294.69,1180.31,0.61,0.39,1275.00,1200.00
