ID player,amplua,time,G,As,TB,Shot,BT,pm,dev_As,dev_BT,dev_G,dev_Shot,dev_TB,dev_pm,dev_time
1.00,10.00,11.93,0.08,0.18,1.41,1.70,1.35,-0.60,-18.26,5.93,-75.28,-38.99,-30.98,-460.35,-21.29
3.00,10.00,14.19,0.03,0.09,1.20,1.67,1.44,-1.09,-59.13,12.99,-90.73,-40.06,-41.26,-917.97,-6.37
8.00,9.00,19.85,0.10,0.12,1.81,2.23,1.38,0.55,-8.71,-9.15,-11.32,13.56,-4.02,398.40,22.99
10.00,9.00,17.79,0.71,0.29,3.71,4.71,1.33,0.14,120.62,-12.44,529.64,139.85,96.73,175.96,10.23
10.00,10.00,15.27,2.00,0.50,4.00,5.00,,0.00,127.07,,518.12,79.45,95.79,100.00,0.75
13.00,10.00,11.70,0.18,0.06,2.51,2.67,1.36,0.28,-72.75,6.71,-44.37,-4.17,22.86,361.50,-22.80
14.00,10.00,20.11,0.25,0.00,1.75,3.25,1.00,-3.50,-100.00,-21.53,-22.74,16.64,-14.34,-3168.70,32.69
17.00,9.00,13.74,0.14,0.14,2.27,3.20,,0.12,6.51,,24.16,62.96,20.37,165.11,-14.87
18.00,10.00,17.21,0.70,0.30,2.60,4.70,2.00,0.90,36.24,56.93,116.34,68.68,27.26,940.52,13.55
19.00,9.00,15.13,0.08,0.00,1.57,3.00,1.50,-0.78,-100.00,-1.25,-29.05,52.77,-16.75,-323.19,-6.26
21.00,9.00,9.22,0.00,0.00,,2.00,,-2.00,-100.00,,-100.00,1.85,,-985.10,-42.87
22.00,10.00,11.60,0.21,0.21,1.60,2.00,1.50,-0.15,-4.63,17.70,-35.10,-28.22,-21.68,-40.09,-23.46
24.00,10.00,11.67,0.00,0.00,1.00,,1.00,-1.00,-100.00,-21.53,-100.00,,-51.05,-833.91,-23.00
25.00,10.00,16.68,0.47,0.22,2.29,3.48,1.20,-0.54,-0.09,-5.84,45.26,24.90,12.09,-404.31,10.06
26.00,9.00,11.96,0.05,0.05,1.62,1.38,2.00,-0.50,-61.96,31.66,-55.66,-29.73,-14.10,-171.27,-25.90
35.00,9.00,16.23,0.00,0.12,2.00,1.00,2.00,-0.89,-8.71,31.66,-100.00,-49.08,6.05,-382.87,0.56
37.00,9.00,16.19,0.00,0.00,2.00,1.33,1.00,-1.67,-100.00,-34.17,-100.00,-32.27,6.05,-806.06,0.31
39.00,9.00,15.38,0.50,0.50,,1.67,1.50,0.50,280.38,-1.25,343.41,-14.96,,371.27,-4.71
40.00,9.00,21.10,0.25,0.18,2.11,2.03,1.80,0.25,36.94,18.50,121.71,3.38,11.89,235.64,30.73
47.00,10.00,18.52,0.14,0.07,1.43,2.83,1.38,-1.64,-68.21,8.28,-56.73,1.57,-30.00,-1431.62,22.20
49.00,10.00,12.80,0.06,0.11,1.45,1.57,1.14,-0.76,-50.05,-10.55,-81.46,-43.65,-29.03,-609.78,-15.55
51.00,9.00,15.98,0.09,0.22,1.63,1.91,1.33,-0.18,67.37,-12.44,-20.19,-2.74,-13.57,2.34,-0.99
53.00,9.00,22.05,0.03,0.15,1.62,1.60,1.65,-0.03,14.11,8.62,-73.40,-18.52,-14.10,83.72,36.62
55.00,10.00,15.34,0.00,0.00,3.00,1.00,1.00,-2.50,-100.00,-21.53,-100.00,-64.11,46.84,-2234.79,1.21
62.00,9.00,10.18,0.04,0.15,1.25,1.47,1.14,-0.44,14.11,-24.95,-64.53,-25.14,-33.72,-138.72,-36.93
63.00,10.00,11.86,0.00,0.04,1.27,1.50,1.00,-1.29,-81.83,-21.53,-100.00,-46.16,-37.84,-1104.75,-21.75
64.00,10.00,11.97,0.17,0.17,1.40,1.33,1.00,-0.50,-22.80,-21.53,-47.46,-52.27,-31.47,-366.96,-21.02
66.00,9.00,18.76,0.00,0.09,1.50,1.62,1.55,-0.60,-31.53,2.04,-100.00,-17.50,-20.46,-225.53,16.24
74.00,9.00,14.21,0.28,0.22,1.73,2.62,1.15,0.26,67.37,-24.29,148.31,33.42,-8.26,241.06,-11.96
79.00,9.00,21.53,0.14,0.21,2.00,1.86,1.44,-0.40,59.76,-5.20,24.16,-5.28,6.05,-117.02,33.40
83.00,10.00,15.16,0.32,0.28,1.62,2.88,1.52,-0.30,27.16,19.27,-1.10,3.36,-20.70,-180.17,0.03
85.00,10.00,16.55,0.08,0.15,2.82,2.40,1.00,-1.77,-31.88,-21.53,-75.28,-13.86,38.03,-1553.03,9.20
87.00,10.00,10.21,0.00,0.00,1.50,2.00,1.00,-0.33,-100.00,-21.53,-100.00,-28.22,-26.58,-208.19,-32.63
92.00,9.00,13.90,0.00,0.00,1.29,1.67,1.40,-0.22,-100.00,-7.84,-100.00,-14.96,-31.60,-19.36,-13.88
94.00,9.00,21.60,0.33,0.11,3.29,2.44,2.75,-2.33,-16.32,81.04,192.65,24.25,74.46,-1164.14,33.83
95.00,10.00,12.58,0.11,0.11,2.80,2.50,1.00,0.00,-50.05,-21.53,-66.00,-10.27,37.05,100.00,-17.00
104.00,9.00,13.51,0.22,0.16,1.33,1.70,1.25,-0.48,21.72,-17.71,95.10,-13.43,-29.47,-160.42,-16.29
107.00,9.00,15.98,0.08,0.38,2.10,1.80,1.33,-0.18,189.09,-12.44,-29.05,-8.34,11.36,2.34,-0.99
110.00,10.00,16.24,0.43,0.19,2.73,3.20,1.00,-0.22,-13.71,-21.53,32.90,14.85,33.63,-105.46,7.15
114.00,10.00,13.41,0.24,0.24,1.74,3.12,1.00,-0.10,8.99,-21.53,-25.83,11.98,-14.83,6.61,-11.52
115.00,10.00,12.06,0.08,0.14,1.79,1.71,1.00,-0.29,-36.42,-21.53,-75.28,-38.63,-12.38,-170.84,-20.43
116.00,9.00,14.94,0.07,0.11,2.00,1.71,2.06,0.78,-16.32,35.61,-37.92,-12.92,6.05,523.19,-7.43
117.00,10.00,14.53,0.30,0.12,1.76,2.38,1.08,0.20,-45.50,-15.26,-7.28,-14.58,-13.85,286.78,-4.13
118.00,9.00,15.77,0.00,0.04,1.60,1.41,1.50,-0.24,-69.57,-1.25,-100.00,-28.20,-15.16,-30.21,-2.29
120.00,10.00,15.77,0.90,0.20,3.47,4.53,1.00,0.62,-9.17,-21.53,178.15,62.58,69.85,679.03,4.05
121.00,10.00,19.55,0.33,0.22,1.84,2.76,1.37,-0.39,-0.09,7.50,1.99,-0.94,-9.94,-264.23,28.99
123.00,9.00,14.92,0.00,0.00,1.50,1.33,2.50,-0.50,-100.00,64.58,-100.00,-32.27,-20.46,-171.27,-7.56
124.00,9.00,17.59,0.29,0.26,2.27,2.97,1.12,-0.35,97.80,-26.27,157.18,51.24,20.37,-89.89,8.99
125.00,10.00,14.60,0.09,0.14,1.58,1.74,1.36,0.00,-36.42,6.71,-72.18,-37.55,-22.66,100.00,-3.67
126.00,9.00,11.87,0.10,0.28,1.53,1.79,1.12,0.75,113.01,-26.27,-11.32,-8.85,-18.87,506.91,-26.45
130.00,9.00,11.17,0.00,0.17,1.33,1.00,1.75,0.83,29.33,15.20,-100.00,-49.08,-29.47,550.32,-30.79
137.00,10.00,13.39,0.36,0.09,2.50,3.12,,0.00,-59.13,,11.26,11.98,22.37,100.00,-11.65
139.00,10.00,15.10,0.64,0.20,2.86,4.57,1.00,0.75,-9.17,-21.53,97.80,64.02,39.99,800.44,-0.37
142.00,10.00,13.22,0.33,0.22,1.40,2.12,1.00,-0.36,-0.09,-21.53,1.99,-23.91,-31.47,-236.21,-12.77
147.00,10.00,16.72,0.40,0.60,3.00,4.00,1.00,1.00,172.48,-21.53,23.62,43.56,46.84,1033.91,10.32
148.00,10.00,15.55,0.51,0.44,1.95,3.58,1.00,0.63,99.82,-21.53,57.62,28.49,-4.55,688.37,2.60
149.00,10.00,13.81,0.14,0.00,2.00,1.75,1.00,-2.00,-100.00,-21.53,-56.73,-37.19,-2.10,-1767.83,-8.88
150.00,10.00,13.16,0.13,0.20,1.58,1.97,1.33,-0.52,-9.17,4.36,-59.82,-29.30,-22.66,-385.64,-13.17
151.00,10.00,15.12,0.12,0.38,2.07,2.50,,-0.50,72.57,,-62.91,-10.27,1.32,-366.96,-0.24
155.00,10.00,14.53,0.21,0.14,2.37,2.03,1.33,-0.12,-36.42,4.36,-35.10,-27.14,16.01,-12.07,-4.13
156.00,10.00,14.26,0.00,0.13,1.57,1.86,1.00,-0.30,-40.96,-21.53,-100.00,-33.24,-23.15,-180.17,-5.91
157.00,10.00,11.34,0.14,0.14,1.25,1.33,1.00,-0.14,-36.42,-21.53,-56.73,-52.27,-38.82,-30.75,-25.18
158.00,9.00,21.10,0.24,0.14,3.19,2.64,1.50,-0.71,6.51,-1.25,112.84,34.44,69.16,-285.21,30.73
159.00,9.00,17.71,0.00,0.27,1.33,1.50,1.00,0.00,105.40,-34.17,-100.00,-23.61,-29.47,100.00,9.73
160.00,10.00,19.32,0.00,0.00,1.00,1.00,,-0.50,-100.00,,-100.00,-64.11,-51.05,-366.96,27.47
161.00,10.00,17.00,0.22,0.26,2.00,2.48,1.33,0.57,18.07,4.36,-32.01,-10.99,-2.10,632.33,12.17
162.00,9.00,18.74,0.06,0.25,2.00,1.53,1.39,-0.75,90.19,-8.49,-46.79,-22.09,6.05,-306.91,16.11
